@relation pca_music

@attribute Band_Energy_Mean continuous
@attribute Chroma_stft_mean continuous
@attribute Mean_ZCR continuous
@attribute MFCC_delta_std continuous
@attribute Total_beats continuous
@attribute Mean_Spectral_Flux continuous
@attribute Band_Ratio_StdDev continuous
@attribute b4 continuous
@attribute MFCC_delta_mean continuous
@attribute Average_beats continuous
@attribute MFCC_delta_variance continuous
@attribute b5 continuous
@attribute Spectral_Roll_Off continuous
@attribute ZCR_StdDev continuous
@attribute genre {pop,electronic,rap,folk,rock,classical}

@data
-0.668763,0.227064,1.452721,0.214696,-0.024756,1.242102,0.021714,-1.702741,0.543229,0.62655,-0.711992,0.332545,0.486416,1.178413,pop
-2.25658,-1.566624,3.018427,-0.060932,1.446786,0.45642,-0.636377,-1.618715,0.639042,1.78285,-0.667912,-0.456122,0.990568,0.894968,pop
-2.018809,-1.901451,4.235422,0.832188,0.112142,0.982558,-1.234949,-2.050157,0.387169,1.427594,-0.38817,-0.691364,-0.298818,2.441173,pop
-2.151896,-1.356136,2.989115,0.192356,0.266463,0.595192,-0.728244,-1.77353,-0.18294,0.947693,-0.638136,-0.249694,0.747411,1.287072,pop
1.889843,-0.166065,14.063217,3.617739,-0.1846,3.262985,-4.92449,-5.902825,0.292183,1.036945,-3.357472,-2.249936,4.648019,-0.76767,pop
1.084207,0.659116,2.352522,-0.737977,-2.409354,0.880387,0.364578,-1.585584,-0.56158,-0.633102,-0.103287,-0.205841,0.116205,0.901759,pop
0.712354,1.545525,2.014813,-0.377849,-2.911833,1.15402,0.278536,-1.235564,0.037819,-0.269243,-0.258956,-0.75195,0.154042,0.297235,pop
1.311767,0.76025,1.952659,-1.751577,1.503679,0.522941,0.72872,-1.116025,0.460499,0.434416,0.68839,-0.272174,0.385874,0.619972,pop
3.198083,0.658121,1.091684,-3.562433,-2.236263,-1.938786,-1.038398,-0.997772,-0.65425,0.188794,0.589579,1.220018,0.793118,0.57031,pop
1.606261,3.394828,3.124717,-2.153854,-1.781265,0.193666,-0.826159,-0.522955,-0.872911,-0.966696,0.576077,-0.282583,-0.140694,-0.141999,pop
-0.489527,-1.980057,3.567332,-0.750215,2.516272,-0.051923,0.045934,0.275244,-0.020968,-0.262493,-0.373523,0.529816,0.906555,0.949236,pop
-0.555721,-1.419348,3.441532,-3.05112,1.371125,-1.617817,0.144311,1.332268,-0.286121,0.777638,0.165134,0.661837,1.169305,1.211691,pop
-0.919021,-1.355539,3.83956,-1.226632,3.59025,-0.00652,0.074675,0.153004,-0.040039,-1.467746,0.083576,0.611291,0.652948,0.918882,pop
2.417259,-1.190196,0.805914,-1.073103,-2.696474,-0.91744,0.715867,0.841034,1.633335,-1.58636,1.550861,0.299726,-0.120528,0.471818,pop
1.607351,-1.934101,2.532394,-1.390892,-4.00464,-1.356056,0.369577,-0.082495,0.323058,-0.592668,1.850565,-0.562847,-0.664831,0.248948,pop
0.857275,0.092858,-0.239668,-0.068495,0.01554,1.001414,1.621225,-1.089547,0.391938,0.930087,-0.309571,0.462605,-0.047238,-0.502726,pop
-1.940211,-1.072442,0.561513,0.834408,0.461183,0.356778,0.366048,0.172857,0.872172,0.530642,-0.651383,1.049731,0.588262,-0.46399,pop
2.680348,0.707851,-1.204506,0.150957,-0.736601,1.030548,1.369362,0.015583,1.028897,2.300358,-0.282982,0.147574,-0.269183,0.074866,pop
-1.23089,-0.702426,0.784619,0.696666,0.641812,0.765298,0.857645,-0.01792,0.430367,0.388118,-0.5122,1.38641,0.009383,-0.165279,pop
-0.974611,-0.3437,0.307714,0.445449,0.564503,0.621434,0.536873,-0.028674,2.413142,0.546821,-0.467962,1.455604,-0.200876,-0.116943,pop
-5.737206,-0.992695,-0.017285,0.388729,0.537132,-0.542315,-0.491549,-0.133821,-0.075255,0.178763,0.834448,0.488959,0.137906,0.134883,pop
-6.245694,-1.165505,0.167003,0.769001,0.576357,-0.435667,-0.729085,-0.360373,-0.293317,0.254844,0.685813,0.46385,0.050304,0.089517,pop
-0.583881,-1.935011,2.280165,-2.078081,0.290285,-1.814707,0.459649,1.006234,-0.480614,0.196137,-0.792935,1.182068,-0.365158,-0.001093,pop
-4.452393,-0.647372,1.726098,-0.798366,2.572408,-0.619673,0.261221,-0.084637,-2.187983,0.488629,-0.150058,0.053689,0.263562,-1.180402,pop
-6.361452,-1.425585,0.811072,0.167677,-0.170862,-0.911952,-0.727836,-0.677891,0.012034,0.734111,0.933107,-0.104517,-0.28023,-0.628662,pop
-0.726663,-0.605213,1.646547,-3.057941,0.890507,-1.422189,0.410777,-0.378163,-0.140242,0.196879,-0.208479,0.467343,1.181054,-0.203537,pop
-0.180445,0.828038,1.225983,-0.641255,0.949831,0.932515,1.097851,-0.251168,-0.687255,0.502539,-0.324479,0.904237,-0.074826,0.831997,pop
0.540877,-0.908253,0.868631,-1.316563,-1.363707,-0.58661,1.121531,0.528755,0.454095,0.583908,-0.299836,1.116692,-0.627742,0.982591,pop
4.113938,-2.755192,4.809212,1.189984,0.398424,-0.242284,0.648857,0.764568,-1.654605,1.478839,0.853559,-0.108912,1.368324,-2.783418,pop
0.858062,-0.863241,-0.542209,-2.532715,0.309835,-1.317743,1.283911,-0.053466,1.865272,0.172715,-0.137326,0.361094,-0.688259,0.480983,pop
4.568144,2.248379,-0.726571,-0.068043,2.265983,1.194759,-0.244198,0.056359,-0.578515,-0.354548,0.882791,0.201184,-0.355966,0.300785,pop
